User1,1670,9,Jak sprzedawać dragi w sieci (szybko),8,Samce Alfa,9,Lucyfer,3,Niebieskoki Samuraj,9,Barbarzyńcy,9,Para Idealna,7,Rojst,8,Polowanie na Czerwony Październik,10,Siedem,10,The Big Bang Theory,8,Braveheart,10,The Expanse,7,Miasteczko South Park,9,Kraina Lodu,5,Dziennik Bridget Jones,6,Kapitan Ameryka: Wojna bohaterów,3,Avengers: Czas Ultrona,2,Terminator 2,9,Planeta Singli,7,List do M.,7,List do M. 2,2,Forrest Gump,10,Ex Machina,10,Gran Torino,9,Cicha Noc,1,Battleship: Bitwa o Ziemię,1,Narodziny Gwiazdy,2,Kapitan Phillips,9,Grand Budapest Hotel,9,Wyjazd integracyjny,1,John Wick,7,Narcos,10,Terminal,8,Ona,8,Whiplash,10,Diabeł ubiera się u Prady,9,La Casa De Papel,8,Peaky Blinders,9,Contratiempo ,9,La Cara Oculta,10,,,,,,,,,,,,,,,,,,,,
User2,Dexter ,9,1670,9,Siedem,10,Peaky Blinders,10,Furioza,7,Druga Furioza,3,The Office,10,Poranek Kojota,7,Chłopaki Nie Płaczą,6,Oppenheimer,10,Lucyfer,4,Sherlock Holmes,8,Platforma,6,Whiplash,10,Joker,8,Shrek,8,The Office PL,7,Demon Slayer,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User3,Shrek,10,Dwonnik z Notre Dame ,8,Samce Alfa,3,Lucyfer,7,Spirited Away,10,The Room ,10,Peacemaker,9,Kiler ,4,Łowca Czarownic,7,Osiem,3,The Big Bang Theory,6,Troja ,8,Incepcja ,10,Kraina Lodu ,8,Miasteczko South Park,8,Terminator 2,9,Rick i Morty,9,Avengers: Czas Ultrona,8,Ex Machina ,3,F1,7,Planeta Singli ,6,Frankenstein (2025),9,Green Lantern ,10,Szklana pułapka,7,John Wick ,10,Forest Gump ,10,Matrix,10,Narodziny Gwiazdy ,8,Grand Budapest Hotel,8,Boski żigolo ,9,Straszny Film,10,Ona,7,Wyścig,8,Le Mans '66,8,Whiplash ,10,La Casa De Papel,9,Lara Croft: Tomb Raider,10,Wiedzmin (2002),8,Księżniczka Mononoke,10,Potwory i Spółka,10,Epoka lodowcowa,10,,,,,,,,,,,,,,,,,,,,
User11,Dexter ,9,Władca Pierścieni,5,The Godfather,5,Lucyfer,5,Peaky Blinders,8,Avatar,8,Oppenheimer,9,The Big Bang Theory,8,Sherlock Holmes,9,Kraina Lodu,3,Iron Man,9,John Wick,9,List do M.,7,Terminal,7,La Casa De Papel,9,One piece,10,Harry Potter,9,Hunterxhunter,9,Jujutsu kaisen,8,Jurassic park,8,HAIKYU!!,9,Attack on Titan,8,Vinland Saga,9,The Promised Neverland,10,Green Book,10,Stranger things,8,Dr House,8,Suits,8,Wednesday,7,Pokemon indiego leauge,7,Hajime no Ippo: The Fighting!,9,Demon Slayer: Kimetsu no Yaiba Infinity Castle,9,Lupin,8,Skazani na Shawshank,9,Flash,8,"Jak ukraść Księżyc
",8,"Cobra Kai
",8,Hauru no ugoku shiro,7,The Blacklist,8,Batman - Początek,8,Jak sprzedawać dragi w sieci (szybko),6,,,,,,,,,,,,,,,,,,,,
User5,The Godfather,10,"Lock, Stock and Two Smoking Barrels",10,The Matrix,9,The Dark Knight,10,The Shawshank Redemption,10,Polowanie na Czerwony Październik,9,Interstellar,9,Pulp Fiction,9,Knives Out,10,The Departed,10,Ex Machina,10,Peaky Blinders,9,Twilight,3,Iron Man 3,4,Akira,9,Wonder Woman,2,Battlefield Earth,2,Far Cry,1,Postal,3,Spy Kids 4: All the Time in the World,2,Rubber,6,Sharknado,5,Click,3,John Wick,8,Oppenheimer,8,Green Lantern,1,Asterix i Obelix: Misja Kleopatra,10,The Purge,8,Blue Eye Samurai,10,Back to the Future,9,Star Wars: Episode V - The Empire Strikes Back,9,No Country for Old Men,10,Fight Club,9,Wanted,2,Cyberpunk: Edgerunners,10,Reservoir Dogs,10,Vinci,8,Snatch,9,Shrek,9,The Prestige,8,The Usual Suspects,9,,,,,,,,,,,,,,,,,,,,
User6,Get Out,8,Heretic,7,Parasite,9,Avatar,5,Shrek,7,Beau is afraid,8,Inception,8,Oppenheimer,9,Knives Out,8,The Devil wears Prada,6,Dogtooth,8,Longlegs,6,Midsommar,8,The Super Mario Bros. Movie,7,Saltburn,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User7,1670,10,Avatar,8,Harry Potter,7,Piraci z karaibów,8,The expanse,7,The flash,5,Sausage party,5,Jestem legendą,4,I robot,5,Duże dzieci,6,Maska,9,Brooklyn 9-9,9,The big bang theory,8,Akira,7,Jujutsu kaisen,8,One piece,8,Hunterxhunter,8,Kraina lodu,4,Obcy,8,Jurassic park,6,Chłopaki nie płaczą,8,Cyberpunk: Edgerunners,7,Reservoir Dogs,4,Vinci,7,Whiplash ,6,La Casa De Papel,4,Lara Croft: Tomb Raider,6,Wiedzmin (2002),6,Księżniczka Mononoke,3,Potwory i Spółka,2,Epoka lodowcowa,2,The Room,5,Inside Out,5,Blade Runner,8,Frankenstein,4,The Nightmare Before Christmas,4,Ghost in the Shell,10,Ergo Proxy,8,Shakma,10,Blazin',10,Conan Barbarzyńca,10,,,,,,,,,,,,,,,,,,,,
User8,Lucyfer,3,Spirited Away,6,Władca Pierścieni,6,Avatar,4,Oppenheimer,6,The Dark Knight,7,The Shawshank Redemption,6,Niebieskoki Samuraj,6,Barbarzyńcy,7,The Big Bang Theory,2,Siedem,5,Akira,9,Wonder Woman,2,Iron Man,4,John Wick,4,The Office PL,3,Demon Slayer,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User9,The Shawshank Redemption,10,The Godfather,9,The Dark Knight,9,12 Angry Men,9,Schindler's List,9,Pulp Fiction,9,Inception,9,Coco,8,Toy Story,8,Joker,8,Oppenheimer,8,It,7,F1: The Movie,8,Far Cry,3,Disaster Movie,1,The Incredibles,8,Mad Max: Fury Road,8,Epic Movie,1,Glitter,1,Slender Man,3,Smolensk,1,The Emoji Movie,1,Scarface,8,Die Hard,8,Indiana Jones and the Last Crusade,8,Oppenheimer,8,Batman Begins,8,Jurassic Park,8,A Beautiful Mind,8,Monty Python and the Holy Grail,8,Inside Out,8,Blade Runner,8,Frankenstein,8,The Nightmare Before Christmas,8,Shrek,8,The Black Phone,7,Halloween,7,Jurassic World,7,The Witch,7,Hubie Halloween,5,A Minecraft Movie,6,Suicide Squad,6,The Purge,6,Friday the 13th,6,Grown Ups,6,Peaky Blinders,9,Money Heist,8,The Devil Wears Prada,7,Whiplash,9,Narcos,9,John Wick,8
User10,The Expanse,10,Legion,9,Futurama,10,Rzym,9,Avatar,6,Incepcja,5,Peacemaker,8,Peaky blinders,8,Oppenheimer,7,Barbarzyńcy,8,The Big Bang Theory,3,Siedem,6,Lucyfer,7,Rick i morty,9,John Wick,2,planeta małp,7,terminator 2,9,Joker,7,narcos,9,Kapitan Ameryka: Wojna bohaterów,4,Jessica Jones,9,Fantastyczna 4: Pierwsze kroki,5,Andor,10,Z archiwum X,9,the boys,8,Kosmiczne jaja,7,Serenity,8,firefly,8,Avengers: Czas Ultrona,4,gwiezdne wrota,8,"Battlestar Galactica
",7,piraci,8,Those About to Die,7,the walking dead,5,Shogun,8,Marco polo,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
